geo_entity_id,geo_entity_name,2007-2011,2009PM25,2010PM2.5,2011PM2.5,M_PM25,2009NO2,2010NO2,2011NO2,M_NO2
101,Kingsbridge - Riverdale,54.5,11.03,10.09,10.65,10.59,23.2,20.13,20.79,21.37333333
102,Northeast Bronx,43.9,10.68,9.65,10.48,10.27,22.39,20.21,21.06,21.22
103,Fordham - Bronx Pk,49.5,11.1,10.26,10.77,10.71,24.82,22.06,22.61,23.16333333
104,Pelham - Throgs Neck,58.1,10.59,9.68,10.5,10.25666667,22.83,21.04,21.61,21.82666667
105,Crotona -Tremont,53.2,11.76,10.99,11.45,11.4,28.07,25.25,25.57,26.29666667
106,High Bridge - Morrisania,62.6,11.8,11,11.44,11.41333333,29.35,26.38,26.67,27.46666667
107,Hunts Point - Mott Haven,48.3,11.45,10.48,11.24,11.05666667,26.39,24.1,24.58,25.02333333
201,Greenpoint,38.8,11.93,10.57,11.51,11.33666667,26.95,25.08,25.84,25.95666667
202,Downtown - Heights - Slope,45.8,11.5,10.49,11.14,11.04333333,28.4,26.46,26.64,27.16666667
203,Bedford Stuyvesant - Crown Heights,49.7,10.75,9.93,10.29,10.32333333,26.93,25.17,25.3,25.8
204,East New York,45.1,10.6,9.79,10.09,10.16,23.9,22.49,22.9,23.09666667
205,Sunset Park,50,11.04,10.21,10.84,10.69666667,25.26,23.77,23.86,24.29666667
206,Borough Park,48,10.27,9.61,10.07,9.983333333,24.79,23.43,23.32,23.84666667
207,East Flatbush - Flatbush,33.5,10.47,9.8,10.15,10.14,25.14,23.64,23.56,24.11333333
208,Canarsie - Flatlands,44.7,9.85,9.12,9.55,9.506666667,20.22,19.1,19.21,19.51
209,Bensonhurst - Bay Ridge,55.2,9.91,9.18,9.78,9.623333333,22.54,21.48,21.62,21.88
210,Coney Island - Sheepshead Bay,49.8,9.55,8.89,9.44,9.293333333,19.9,19.01,18.98,19.29666667
211,Williamsburg - Bushwick,45.7,11.36,10.33,10.88,10.85666667,27.13,25.31,25.75,26.06333333
301,Washington Heights,39.1,11.55,10.71,11.12,11.12666667,28.5,25.22,25.56,26.42666667
302,Central Harlem - Morningside Heights,64.4,11.6,10.62,11.13,11.11666667,31.06,27.83,28.23,29.04
303,East Harlem,58.7,11.55,10.41,11.12,11.02666667,29.9,27.07,27.65,28.20666667
304,Upper West Side,48.5,12.18,11.01,11.49,11.56,31.95,28.66,29.3,29.97
305,Upper East Side,52.2,12.88,11.83,12.1,12.27,34.29,31.02,31.52,32.27666667
306,Chelsea - Clinton,54.1,14.24,13.21,13.27,13.57333333,39.87,36.03,36.33,37.41
307,Gramercy Park - Murray Hill,56.6,15.03,14.24,13.93,14.4,43.32,39.17,39.18,40.55666667
308,Greenwich Village - SoHo,53.3,12.75,11.56,12.04,12.11666667,34.75,31.8,32.25,32.93333333
309,Union Square - Lower East Side,50.9,12.08,10.87,11.44,11.46333333,32.71,29.99,30.45,31.05
310,Lower Manhattan,48.5,13.06,12.19,12.28,12.51,36.69,33.48,33.5,34.55666667
401,Long Island City - Astoria,44.4,11.4,10.05,11.02,10.82333333,26.29,24.32,25.24,25.28333333
402,West Queens,45.3,10.99,9.89,10.6,10.49333333,25.81,24.18,24.96,24.98333333
403,Flushing - Clearview,53.1,10.16,9.34,10.05,9.85,22.68,21.48,21.94,22.03333333
404,Bayside - Little Neck,51.3,9.72,8.98,9.71,9.47,20.05,19.23,19.48,19.58666667
405,Ridgewood - Forest Hills,52.2,10.44,9.52,9.95,9.97,24.06,22.61,23.26,23.31
406,Fresh Meadows,48,10,9.25,9.74,9.663333333,22.78,21.67,22.1,22.18333333
407,Southwest Queens,45.4,9.96,9.19,9.43,9.526666667,22.93,21.7,22.21,22.28
408,Jamaica,42.2,9.95,9.25,9.57,9.59,22.29,21.22,21.54,21.68333333
409,Southeast Queens,40.7,9.35,8.65,9.17,9.056666667,19.89,19.1,19.29,19.42666667
410,Rockaways,62,8.75,7.99,8.44,8.393333333,14.68,14.07,14.27,14.34
501,Port Richmond,65.1,10.22,9.02,9.73,9.656666667,21.35,19.79,21.12,20.75333333
502,Stapleton - St. George,61.4,9.63,8.64,9.36,9.21,18.41,17.38,18.29,18.02666667
503,Willowbrook,61.8,10.1,8.99,9.63,9.573333333,17.49,16,17.17,16.88666667
504,South Beach - Tottenville,69.7,9.63,8.71,9.29,9.21,14.71,13.05,13.5,13.75333333
